METAR,RCNN,301600Z,010,05KT,7000,FEW012 SCT100,19,17,Q1020,,,,,,
METAR,RCNN,301500Z,030,04KT,7000,FEW012 SCT100,18,16,Q1021,,,,,,
METAR,RCNN,301400Z,020,06KT,7000,FEW012 BKN060,19,16,Q1021,,,,,,
METAR,RCNN,301330Z,020,06KT,7000,FEW012 BKN060,19,16,Q1021,,,,,,
METAR,RCNN,301300Z,010,07KT,8000,FEW012 BKN060,19,16,Q1021,,,,,,
METAR,RCNN,301230Z,010,06KT,8000,FEW012 BKN060,20,16,Q1021,,,,,,
METAR,RCNN,301200Z,360,06KT,8000,FEW012 BKN060,21,17,Q1020,,,,,,
METAR,RCNN,301130Z,020,04KT,8000,FEW012 BKN060,20,17,Q1020,,,,,,
METAR,RCNN,301100Z,010,05KT,8000,FEW012 BKN060,20,17,Q1020,,,,,,
METAR,RCNN,301030Z,360,09KT,8000,FEW012 SCT030 BKN060,20,17,Q1020,NOSIG,,,,,
METAR,RCNN,301000Z,350,08KT,8000,FEW012 SCT030 BKN060,21,18,Q1019,NOSIG,,,,,
METAR,RCNN,300930Z,320,07KT,8000,FEW012 SCT030 BKN060,22,18,Q1019,NOSIG,,,,,
METAR,RCNN,300900Z,320,06KT,9000,FEW012 SCT030 BKN060,23,18,Q1019,NOSIG,,,,,
METAR,RCNN,300830Z,310,07KT,9000,FEW012 SCT030 BKN060,24,18,Q1018,NOSIG,,,,,
METAR,RCNN,300800Z,340,06KT,9999,FEW012 SCT030 BKN060,25,18,Q1018,NOSIG,,,,,
METAR,RCNN,300730Z,350,06KT,9999,FEW012 SCT030 BKN060,26,18,Q1018,NOSIG,,,,,
METAR,RCNN,300700Z,320,08KT,9999,FEW012 SCT040 BKN060,25,18,Q1018,NOSIG,,,,,
METAR,RCNN,300630Z,320,10KT,9999,FEW012 SCT040 BKN060,25,18,Q1018,NOSIG,,,,,
METAR,RCNN,300600Z,310,08KT,9999,FEW012 SCT040 BKN060,26,18,Q1018,NOSIG,,,,,
METAR,RCNN,300530Z,300,09KT,9999,FEW012 SCT040 BKN060,26,18,Q1019,NOSIG,,,,,
METAR,RCNN,300500Z,300,09KT,9999,FEW012 SCT040 BKN060,27,17,Q1019,NOSIG,,,,,
METAR,RCNN,300430Z,350,07KT,9999,FEW012 SCT040 BKN060,28,16,Q1020,NOSIG,,,,,
METAR,RCNN,300400Z,020,05KT,9999,FEW012 SCT040 BKN060,27,16,Q1020,NOSIG,,,,,
METAR,RCNN,300330Z,030,07KT,9999,FEW012 SCT040 BKN060,27,16,Q1021,NOSIG,,,,,
METAR,RCNN,300300Z,020,08KT,9999,FEW012 SCT040 BKN060,27,16,Q1021,NOSIG,,,,,
METAR,RCNN,300230Z,020,09KT,9999,FEW012 SCT040 BKN060,26,16,Q1022,NOSIG,,,,,
METAR,RCNN,300200Z,020,07KT,9999,FEW012 SCT040 BKN060,24,16,Q1022,NOSIG,,,,,
METAR,RCNN,300130Z,030,06KT,8000,FEW012 SCT040 BKN060,23,16,Q1022,NOSIG,,,,,
METAR,RCNN,300100Z,030,05KT,8000,VCSH,FEW012 SCT025 BKN040,21,17,Q1022,NOSIG,,,,
METAR,RCNN,300030Z,050,06KT,8000,VCSH,FEW012 SCT025 BKN040,20,17,Q1022,NOSIG,,,,
SPECI,RCNN,300019Z,050,07KT,7000,VCSH,FEW012 SCT025 BKN040,20,17,Q1022,<strong>BECMG<,strong>,5000,BR,
METAR,RCNN,300000Z,040,08KT,7000,-RA,FEW012 SCT025 BKN040,19,17,Q1022,<strong>BECMG<,strong>,5000,-RA,BR
SPECI,RCNN,292332Z,020,09KT,8000,-RA,FEW012 SCT025 BKN040,19,17,Q1021,NOSIG,,,,
METAR,RCNN,292330Z,020,09KT,8000,VCSH,FEW012 SCT025 BKN040,20,17,Q1022,NOSIG,,,,
METAR,RCNN,292300Z,030,07KT,8000,VCSH,FEW012 SCT025 BKN040,19,17,Q1021,NOSIG,,,,
METAR,RCNN,292230Z,020,07KT,8000,FEW012 SCT025 BKN040,19,16,Q1021,NOSIG,,,,,
METAR,RCNN,292200Z,020,05KT,9000,FEW012 BKN060,19,16,Q1021,NOSIG,,,,,
METAR,RCNN,292130Z,030,06KT,9000,FEW012 BKN060,19,17,Q1021,NOSIG,,,,,
METAR,COR,RCNN,292,100Z,02009KT,9000,FEW012 BKN060,19,17,Q1020,NOSIG,,,,
METAR,RCNN,292030Z,010,07KT,9000,FEW012 BKN060,19,17,Q1020,,,,,,
METAR,RCNN,291956Z,010,05KT,9000,FEW012 BKN060,19,16,Q1020,,,,,,
METAR,RCNN,291900Z,030,02KT,9999,FEW012 BKN100,19,16,Q1020,,,,,,
METAR,RCNN,291800Z,030,04KT,9999,FEW012 BKN100,19,16,Q1021,,,,,,
METAR,RCNN,291700Z,010,04KT,9999,FEW012 BKN100,19,16,Q1021,,,,,,
METAR,RCNN,291600Z,290,04KT,9999,FEW012 BKN100,20,16,Q1021,,,,,,
