METAR,RCMQ,011600Z,010,14KT,7000,-RA,SCT004 BKN008 BKN025,14,13,Q1023,A3023,RA,AMT,0.2MM,,,
SPECI,RCMQ,011543Z,010,15KT,5000,-RA,BR,SCT004 BKN008 BKN025,14,13,Q1023,A3023,,,,,
METAR,RCMQ,011500Z,010,15KT,3200,-RA,BR,SCT004 BKN008 BKN025 SCT004,14,13,Q1023,A3023,RA,AMT,0.2MM,APCH,CLD
SPECI,RCMQ,011437Z,360,14KT,3200,-RA,BR,SCT004 BKN008 BKN025 SCT004,14,13,Q1024,A3024,APCH,CLD,,,
METAR,RCMQ,011400Z,020,12KT,6000,-RA,FEW004 BKN008 BKN030,14,14,Q1023,A3022,RA,AMT,0.5MM,,,
SPECI,RCMQ,011341Z,010,10KT,8000,-RA,FEW004 BKN008 BKN030,14,13,Q1023,A3022,,,,,,
METAR,RCMQ,011330Z,010,11KT,9000,VCSH,FEW004 BKN008 BKN030,14,13,Q1023,NOSIG,A3023,VCSH,SW,,,
METAR,RCMQ,011300Z,010,13KT,9000,VCSH,FEW004 BKN008 BKN030,15,13,Q1023,NOSIG,A3022,RA,AMT,T,VCSH,SW
SPECI,RCMQ,011251Z,010,12KT,9999,VCSH,FEW004 BKN008 BKN030,15,13,Q1023,NOSIG,A3022,VCSH,SW,,,
METAR,RCMQ,011230Z,020,14KT,9999,-RA,FEW006 SCT012 BKN040 BKN008,15,13,Q1023,BECMG,A3021,,,,,
METAR,RCMQ,011200Z,010,12KT,9999,-RA,FEW006 SCT012 BKN040,15,14,Q1023,NOSIG,A3021,RA,AMT,T,,
METAR,RCMQ,011130Z,020,14KT,9999,-RA,FEW006 SCT012 BKN040,15,13,Q1023,NOSIG,A3021,,,,,
SPECI,RCMQ,011104Z,010,13KT,9999,-RA,FEW006 SCT012 BKN040,15,14,Q1022,NOSIG,A3020,,,,,
METAR,RCMQ,011100Z,010,14KT,9999,VCSH,FEW006 SCT012 BKN040,15,14,Q1022,NOSIG,A3020,VCSH,SW,,,
METAR,RCMQ,011030Z,360,14KT,9999,VCSH,FEW006 SCT012 BKN040,15,14,Q1022,NOSIG,A3019,VCSH,SW,,,
METAR,RCMQ,011000Z,330,11KT,9999,VCSH,FEW006 SCT012 BKN040,15,14,Q1022,NOSIG,A3018,VCSH,SW,,,
METAR,RCMQ,010930Z,010,04KT,9999,VCSH,FEW006 SCT012 BKN040,15,14,Q1021,NOSIG,A3016,VCSH,SW,,,
SPECI,RCMQ,010910Z,020,06KT,9999,VCSH,FEW006 SCT012 BKN040,16,14,Q1021,NOSIG,A3015,VCSH,SW,,,
METAR,RCMQ,010900Z,020,07KT,9999,FEW006 BKN008 BKN020 BKN040,16,14,Q1021,BECMG,A3015,RA,AMT,T,,,
METAR,RCMQ,010830Z,020,09KT,9999,VCSH,FEW006 BKN008 BKN020 BKN040,16,14,Q1021,BECMG,A3016,VCSH,SW,,,
SPECI,RCMQ,010807Z,010,10KT,9999,VCSH,FEW006 BKN008 BKN020,16,14,Q1021,NOSIG,A3016,VCSH,SW,,,
METAR,RCMQ,010800Z,010,10KT,9999,-RA,SCT006 BKN008 BKN020,16,14,Q1021,NOSIG,A3016,RA,AMT,T,,
METAR,RCMQ,010730Z,010,12KT,8000,-RA,SCT006 BKN008 BKN020,15,14,Q1021,NOSIG,A3015,,,,,
METAR,RCMQ,010700Z,010,12KT,8000,-RA,SCT006 BKN008 BKN020,15,14,Q1021,NOSIG,A3015,RA,AMT,T,,
METAR,RCMQ,010630Z,030,13KT,7000,-RA,SCT006 BKN008 BKN020,15,14,Q1020,NOSIG,A3014,,,,,
METAR,RCMQ,010600Z,010,15KT,7000,-RA,SCT006 BKN008 BKN020,15,14,Q1021,NOSIG,A3016,RA,AMT,0.5MM,,
SPECI,RCMQ,010538Z,010,14KT,7000,-RA,SCT006 BKN008 BKN020,15,13,Q1021,NOSIG,A3017,,,,,
METAR,RCMQ,010530Z,010,14KT,9999,VCSH,SCT008 BKN012 BKN050 BKN008,15,13,Q1021,BECMG,A3016,VCSH,SW,,,
METAR,RCMQ,010500Z,020,17KT,9999,SCT008 BKN012 BKN050,16,13,Q1021,NOSIG,A3017,,,,,,
METAR,RCMQ,010430Z,010,15KT,9999,FEW008 BKN012 BKN050,16,13,Q1022,NOSIG,A3019,,,,,,
METAR,RCMQ,010400Z,360,15KT,9999,FEW008 BKN012 BKN050,17,13,Q1022,NOSIG,A3019,,,,,,
METAR,RCMQ,010330Z,010,15KT,9999,FEW008 BKN012 BKN050,17,13,Q1022,NOSIG,A3019,,,,,,
METAR,RCMQ,010300Z,010,15KT,9999,FEW008 BKN012 BKN050,18,13,Q1023,NOSIG,A3021,,,,,,
METAR,RCMQ,010230Z,020,16KT,9999,FEW008 BKN012 BKN050,16,13,Q1023,NOSIG,A3021,,,,,,
METAR,RCMQ,010200Z,020,18KT,9999,FEW008 BKN012 BKN050,16,13,Q1023,NOSIG,A3021,,,,,,
METAR,RCMQ,010130Z,010,16KT,9999,FEW008 BKN012 BKN050,16,13,Q1023,NOSIG,A3021,,,,,,
METAR,RCMQ,010100Z,020,17KT,9999,FEW008 BKN012 BKN050,16,13,Q1022,NOSIG,A3020,,,,,,
